kanji,radicals
葮,｜:殳:艹
蒹,｜:彐:丷:艹
蕀,｜:八:冂:木:艹
蕭,｜:丿:彐:米:聿:艹
薛,｜:十:口:立:辛:艹
藪,｜:口:女:攴:艹
藉,｜:二:八:日:木:耒:艹
藕,｜:八:日:木:田:禸:耒:艹
藾,｜:八:口:木:貝:頁:艹
乕,｜:丿:厂:巾
蚓,｜:弓:虫
蚌,｜:二:虫
蚰,｜:日:田:虫
蛬,｜:二:八:虫:艹
蛛,｜:丿:二:八:木:牛:虫
蝙,｜:戸:虫:冊
螻,｜:口:女:虫
蠹,｜:冖:口:石:虫
衄,｜:皿:血
袢,｜:二:十:丷:衤
裲,｜:入:冂:衤
褄,｜:女:彐:衤
褊,｜:戸:衤:冊
襄,｜:亠:八:衣
褸,｜:口:女:衤
覯,｜:冂:見
誅,｜:丿:二:八:木:牛:言
誄,｜:木:耒:言
諫,｜:八:口:木:网:言
諞,｜:戸:言:冊
謇,｜:八:宀:言
譁,｜:言:艹
譴,｜:口:言:辶
讓,｜:亠:口:衣:言
賽,｜:八:宀:貝
賺,｜:八:彐:貝
贐,｜:彐:皿:貝:灬
赧,｜:又:口:土:赤
赳,｜:土:走
跚,｜:冂:口:足:冊
踈,｜:八:口:木:足
踵,｜:丿:口:田:足:里
蹇,｜:八:口:宀:足
蹕,｜:口:田:足
躰,｜:木:身
軆,｜:口:日:豆:身:丷
輛,｜:入:冂:車
輌,｜:冂:凵:車
輾,｜:二:尸:衣:車
辣,｜:十:口:木:立:辛
迚,｜:口:辶
迪,｜:日:田:辶
邇,｜:八:冂:爻:辶
迸,｜:丿:二:廾:丷:辶
遐,｜:又:口:辶
遘,｜:冂:辶
鄲,｜:十:口:田:.阝
醋,｜:二:日:酉
醴,｜:口:日:豆:酉:丷
醺,｜:丿:酉:灬
釀,｜:亠:口:衣:酉
釉,｜:日:田:米:釆
釐,｜:二:八:厂:攴:木:里
鈕,｜:金
鉞,｜:戈:金
銖,｜:丿:二:八:木:牛:金:丷
錏,｜:二:金
鍜,｜:又:金
鎭,｜:八:匕:目:金:丷
鏤,｜:口:女:金
鑰,｜:冂:口:金:龠:个:冊
閘,｜:日:田:門
閧,｜:二:八:門
闌,｜:八:日:木:門
陲,｜:丿:阝.
霰,｜:二:攴:月:雨
靺,｜:亠:八:凵:口:木:革
鞣,｜:凵:口:木:矛:革:マ
顆,｜:日:木:田:貝:頁
餠,｜:干:食
饉,｜:二:食:艹
饋,｜:口:貝:食
饌,｜:二:八:己:食
駲,｜:丶:丿:巛:馬
騁,｜:勹:日:田:馬
駢,｜:丿:二:廾:馬:丷
騙,｜:冂:戸:馬:冊
騫,｜:八:宀:馬
驥,｜:二:八:匕:爿:田:馬
驤,｜:二:亠:八:衣:馬
髏,｜:冂:冖:口:女:月:骨
體,｜:冂:冖:口:日:月:豆:骨:丷
髯,｜:冂:厶:彡:長:髟
髴,｜:丿:弓:彡:長:髟
髷,｜:厶:彡:日:長:髟
鬨,｜:亅:二:八:鬥
魎,｜:儿:入:冂:厶:田:鬼
鮓,｜:丿:田:魚:灬
鰕,｜:又:口:田:魚:灬
鰊,｜:口:木:田:网:魚:丷:灬
鰥,｜:冫:田:网:魚:灬
鰤,｜:冂:口:巾:田:魚:灬
鰰,｜:田:魚:灬:礻
鱧,｜:日:田:豆:魚:灬
鵲,｜:日:鳥
鶇,｜:八:日:木:田:鳥:灬
鶫,｜:口:木:网:鳥:丷:灬
黜,｜:山:里:黒:灬
鼬,｜:日:田:臼:鼠
槇,｜:木:目:貝
浦,丶:十:用:氵
永,丶:水
泳,丶:水:氵
詠,丶:水:言
往,丶:彳:玉
欧,丶:丿:匚:欠
殴,丶:丿:匚:殳
鴎,丶:丿:匚:鳥:灬
蒲,丶:十:用:氵:艹
釜,丶:丿:干:父:玉:金:丷
鎌,丶:丿:八:彐:玉:金:丷
寒,丶:八:宀:井
丸,丶:九
機,丶:丿:幺:戈:木
気,丶:丿:气
稀,丶:丿:巾:禾
偽,丶:亻:灬
及,丶:乃
救,丶:攴:水
求,丶:水
球,丶:水:玉
兇,丶:丿:儿:凵
凶,丶:丿:凵
恐,丶:几:工:心
挟,丶:二:亠:人:大:丷:扌
狭,丶:二:亠:人:大:丷:犭
胸,丶:丿:凵:勹:月
玉,丶
禽,丶:丿:亠:冂:凵:厶:禸:个
区,丶:丿:匚
躯,丶:丿:匚:身
駆,丶:丿:匚:馬
犬,丶:大
国,丶:囗:玉
叉,丶:又
肴,丶:丿:月
殺,丶:丿:木:殳
桟,丶:丿:木:毛
残,丶:丿:歹:毛
似,丶:人:亻
執,丶:丿:亠:十:土:立:辛:九
勺,丶:勹
尺,丶:尸
杓,丶:勹:木
灼,丶:勹:火
酌,丶:勹:酉
釈,丶:尸:米:釆
主,丶:玉
就,丶:亠:口:小:尢:尤
蹴,丶:丿:乙:亠:口:小:尢:足:尤
住,丶:玉:亻
塾,丶:亠:口:土:子:九
熟,丶:亠:口:子:九:灬
術,丶:十:彳:木:行
述,丶:十:木:辶
丈,丶:丿
刃,丶:刀
尽,丶:尸
靭,丶:刀:革
勢,丶:儿:力:土:九
斥,丶:斤
浅,丶:丿:毛:氵
賎,丶:丿:毛:貝
践,丶:丿:口:毛:足
銭,丶:丿:毛:金
訴,丶:斤:言
双,丶:又
太,丶:大
汰,丶:大:氵
駄,丶:大:馬
丹,丶:丿:亅
築,丶:几:工:木:竹
筑,丶:几:工:竹
昼,丶:尸:日
柱,丶:木:玉
注,丶:玉:氵
註,丶:玉:言
駐,丶:玉:馬
掴,丶:囗:玉:扌
釣,丶:勹:金
的,丶:勹:白
冬,丶:夂:攴
忍,丶:刀:心
認,丶:刀:心:言
葱,丶:心:艹:勿
熱,丶:儿:土:九:灬
之,丶:乙:亠:廴
博,丶:十:寸:田
薄,丶:十:寸:田:氵:艹
縛,丶:十:寸:田:糸
帆,丶:几:巾
汎,丶:几:氵
泌,丶:丿:心:氵
秘,丶:丿:心:禾
柊,丶:夂:木
氷,丶:水
豹,丶:勹:豸
敷,丶:十:攴:方:田
舗,丶:十:口:土:用:个
鋪,丶:十:用:金
圃,丶:十:囗:用
捕,丶:十:用:扌
甫,丶:十:用
補,丶:十:用:衤
輔,丶:十:用:車
簿,丶:十:寸:田:竹:氵
宝,丶:宀:玉
乏,丶:丿:乙:亠
凡,丶:几
密,丶:丿:宀:山:心
蜜,丶:丿:宀:心:虫
尤,丶:尢
籾,丶:刀:米
匁,丶:丿:勹
約,丶:勹:糸
訳,丶:尸:言
猷,丶:丿:犬:酉
卵,丶:丿:卜
吏,丶:丿:口
梁,丶:刀:木:氵
鷲,丶:亠:口:小:尢:鳥:灬:尤
亙,丶:丿:二
仞,丶:刀:亻
仭,丶:刀:亻
偬,丶:心:亻:勿
傅,丶:寸:田:亻
兔,丶:儿:免
冤,丶:儿:冖:免
劔,丶:人:刀:口:个
劒,丶:人:刀:口:个
剱,丶:人:刀:口:个
匆,丶:勹:勿
匍,丶:勹:十:用
厖,丶:厂:尢:彡:尤
咏,丶:丿:口:水
哺,丶:十:口:用
囈,丶:二:儿:厶:口:土:九:艹
埔,丶:十:土:用
妁,丶:勹:女
孰,丶:亠:口:子:九
孵,丶:卩:子:爪
寃,丶:儿:宀:免
尨,丶:尢:彡:尤
巉,丶:儿:勹:口:山:比
怱,丶:丿:勹:心:勿
怺,丶:水:忄
愡,丶:丿:心:忄:勿
愽,丶:十:寸:田:忄
戍,丶:丿:戈
扠,丶:又:扌
扨,丶:刀:扌
拔,丶:丿:扌
拆,丶:斤:扌
掖,丶:亠:夂:夕:亻:扌
搏,丶:十:寸:田:扌
摯,丶:丿:十:手:立:辛:九
昶,丶:日:水
柝,丶:斤:木
梵,丶:几:木
榑,丶:十:寸:木:田
樒,丶:丿:宀:山:心:木
櫁,丶:丿:宀:心:木:虫
樣,丶:木:水:玉:羊:丷
毬,丶:亠:毛:水
泝,丶:斤:氵
溥,丶:十:寸:田:氵
漾,丶:水:玉:羊:丷:氵
澀,丶:刀:止:氵
瀛,丶:几:口:女:月:氵:亡
炙,丶:夕:火
犹,丶:尢:犭:尤
瑟,丶:丿:心:玉
疣,丶:尢:疒:尤
疼,丶:冫:夂:疒
祕,丶:丿:心:礻
祓,丶:丿:礻
秡,丶:丿:禾
笂,丶:竹:九
筺,丶:匚:玉:竹
簗,丶:刀:木:竹:氵
綛,丶:刀:心:糸
网,丶:丿:冂
羸,丶:几:口:月:玉:羊:丷:亡
肬,丶:尢:月:尤
脉,丶:月:水
膊,丶:十:寸:日:月:田
舖,丶:十:口:用:舌:个
芍,丶:勹:艹
苳,丶:夂:艹
荵,丶:刀:心:艹
葯,丶:勹:糸:艹
葢,丶:大:皿:艹
藝,丶:二:儿:厶:土:九:艹
蛩,丶:几:工:虫
螽,丶:夂:虫
蟄,丶:亠:十:立:虫:辛:九
衂,丶:刀:皿:血
裘,丶:亠:水:衣
褻,丶:亠:土:衣:九
謐,丶:丿:心:皿:言
譏,丶:幺:戈:言
賻,丶:十:寸:田:貝
贄,丶:亠:十:立:貝:辛:九
跋,丶:丿:口:攴:足
跫,丶:几:口:工:足
逑,丶:亠:水:辶
逋,丶:十:用:辶
釼,丶:刀:金
釵,丶:又:金
靫,丶:又:革
鞏,丶:几:工:革
餔,丶:十:用:食
饑,丶:幺:戈:食
騷,丶:又:虫:馬
魃,丶:儿:匕:攴:田:鬼
鯆,丶:十:用:田:魚:灬
鷙,丶:亠:十:立:辛:鳥:九:灬
麈,丶:广:比:玉:鹿
黻,丶:八:冂:攴:黹:丷
黼,丶:八:冂:十:用:黹:丷
遙,丶:夕:缶:辶
瑤,丶:夕:玉:缶
葵,丿:二:人:大:癶:艹
夷,丿:大:弓
威,丿:厂:女:戈
為,丿:灬
郁,丿:月:.阝
磯,丿:口:幺:戈:石
逸,丿:儿:勹:辶:免
淫,丿:士:爪:玉:氵
隠,丿:彐:心:尚:阝.
右,丿:口
映,丿:大:日
洩,丿:乙:日:氵
瑛,丿:大:玉:艹
盈,丿:又:皿
英,丿:大:艹
援,丿:又:爪:扌
央,丿:冖:大
卸,丿:卩:止
禾,丿:木
括,丿:十:口:舌:扌
活,丿:十:口:舌:氵
勧,丿:力:矢:隹
感,丿:口:心:戈
憾,丿:口:心:戈:忄
看,丿:二:手:目
希,丿:巾
幾,丿:幺:戈
