num,kanji,radicals,meaning,concept,subconcept
51,員,口貝,member,,
52,院,二儿宀阝元,institution,,
53,淫,丿士爪玉氵,lewdness,,
54,陰,二厶个阝,Yin principle,Human_activities,Religion_(宗)_and_the_Supernatural_World
55,飲,欠食,drink,,
56,隠,丿彐心尚阝,conceal,,
57,韻,口日立貝音,rhyme,,
58,右,丿口,right,Directions_(方)_and_Spatial_Relationships,
59,宇,亅宀干,universe,Nature,Sky
60,羽,冫,feather,Nature,Animals_(獣)
61,雨,雨,rain,Nature,Weather
62,唄,口貝,song,Human_activities,Culture
63,鬱,冖凵匕彡木缶,melancholy,Emotions_and_Senses_(感),Emotions_(情)
64,畝,亠田久,30 tsubo (99 m2),Numbers_(数),Units_of_Measurement_(測)
65,浦,丶十用氵,beach,Nature,Land_(陸)_and_Topography
66,運,冖車辶,carry,,
67,雲,二厶雨,cloud,Nature,Weather
68,永,丶水,eternity,Time_(時),
69,泳,丶水氵,swim,Body_(身),Actions
70,英,丿大艹,England,,
71,映,丿大日,reflect,,
72,栄,冖木尚,prosperity,,
73,営,冖口尚,management,Human_activities,Money_(銭)_and_Commerce_(商)
74,詠,丶水言,recite poetry,Human_activities,Culture
75,影,亠口小彡日,shadow,Nature,Weather
76,鋭,儿口金个丷,sharp,Physical_Attributes_and_Properties,Miscellaneous_properties
77,衛,口彳行韋,defense,,
78,易,勹日勿,easy,,
79,疫,殳疒,epidemic,Body_(身),Health_(体)
80,益,八皿丷,benefit,,
81,液,亠夕攴亻氵,liquid,Physical_Attributes_and_Properties,Miscellaneous_properties
82,駅,尸馬,station,,
83,悦,儿口丷忄,ecstasy,Emotions_and_Senses_(感),Emotions_(情)
84,越,土戈走,to pass or go beyond,Directions_(方)_and_Spatial_Relationships,Movement
85,謁,勹匕日言,audience,,
86,閲,儿口門丷,review,,
87,円,亠冂,yen,Human_activities,Money_(銭)_and_Commerce_(商)
88,延,廴止,prolong,,
89,沿,八口氵,run alongside,,
90,炎,火,blaze or flame,Nature,Weather
91,怨,卩夕心,resentment,Emotions_and_Senses_(感),Emotions_(情)
92,宴,女宀日,banquet,,
93,媛,丿又女爪,princess,People_(人),Roles_and_status
94,援,丿又爪扌,aid,,
95,園,口囗土衣,garden,,
96,煙,土火襾,fumes or smoke,Nature,Weather
97,猿,口土衣犭,monkey,Nature,Animals_(獣)
98,遠,口土衣辶,distant,Directions_(方)_and_Spatial_Relationships,
99,鉛,八口金丷,lead,Nature,Natural_Substances
100,塩,口土皿,salt,Nature,Natural_Substances
101,演,八宀田氵,perform,,
102,縁,彐糸豕,edge or border,Physical_Attributes_and_Properties,Form_and_Shape_(形)
103,艶,｜勹口日色豆丷,glossy,Physical_Attributes_and_Properties,Miscellaneous_properties
104,汚,氵,dirty,Physical_Attributes_and_Properties,Miscellaneous_properties
105,王,王,king,People_(人),Roles_and_status
106,凹,凵,concave,Physical_Attributes_and_Properties,Form_and_Shape_(形)
107,央,丿冖大,Centre,Directions_(方)_and_Spatial_Relationships,
108,応,广心,respond,,
109,往,丶彳玉,to go to,Directions_(方)_and_Spatial_Relationships,Movement
110,押,｜日田扌,push,,
111,旺,日玉,flourishing,,
112,欧,丶丿匚欠,Europe,,
113,殴,丶丿匚殳,"beat, assault",Human_activities,War_(戦)
114,桜,女木尚,sakura,Nature,Plants_(植)_and_Trees_(樹)
115,翁,八冫厶羽,old man,People_(人),General
116,奥,冂大米,interior,Directions_(方)_and_Spatial_Relationships,
117,横,｜二八廾日木田黄,side,,
118,岡,冂山丷,hill,Nature,Land_(陸)_and_Topography
119,屋,厶土尸至,roof,,
120,億,心日立音亻,"100,000,000",Numbers_(数),
121,憶,心日立音忄,recollection,,
122,臆,心日月立音,timidity,,
123,虞,八匕卜厂口虍,fear,Emotions_and_Senses_(感),Emotions_(情)
124,乙,乙,second,Numbers_(数),Counting_(計)_&_Sequence_(序)
125,俺,乙大亻奄,I or me,People_(人),General
126,卸,丿卩止,wholesale,Human_activities,Money_(銭)_and_Commerce_(商)
127,音,日立,sound,Emotions_and_Senses_(感),Senses
128,恩,囗大心,grace,,
129,温,日皿氵,warm,Physical_Attributes_and_Properties,Miscellaneous_properties
130,穏,彐心爪禾,calm,,
131,下,｜卜,down,Directions_(方)_and_Spatial_Relationships,
132,化,匕亻,change,,
133,火,火,fire,Nature,Weather
134,加,力口,to add,Numbers_(数),Calculations_(算)
135,可,亅口,possible,,
136,仮,厂又亻,temporary,,
137,何,亅口亻,what,,
138,花,匕亻艹,flower,Nature,Plants_(植)_and_Trees_(樹)
139,佳,土亻,excellent,,
140,価,襾亻,price,Human_activities,Money_(銭)_and_Commerce_(商)
141,果,｜木田,fruit,Food_(食)_and_Drink_(飲),
142,河,亅口氵,stream,Nature,Land_(陸)_and_Topography
143,苛,亅口艹,torment,,
144,科,斗禾,faculty,Human_activities,Culture
145,架,力口木,rack,,
146,夏,夂自,Summer,Time_(時),Seasons_(季_/_候)
147,家,宀豕,house,,
148,荷,亅口亻艹,luggage,,
149,華,｜艹,splendor,,
150,菓,木田艹,confectionery,Food_(食)_and_Drink_(飲),
151,貨,匕貝亻,goods or property,Human_activities,Money_(銭)_and_Commerce_(商)
152,渦,｜冂口氵,whirlpool,Nature,Weather
153,過,冂口辶,go beyond,,
154,嫁,女宀豕,"wife, bride",People_(人),Family_(家_/_族)
155,暇,又日,spare time,,
156,禍,冂口礻,calamity,,
157,靴,匕革亻,shoes,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
158,寡,八刀宀自,widow,People_(人),Family_(家_/_族)
159,歌,亅口欠,song,Human_activities,Culture
160,箇,十口囗竹,counter for articles,Numbers_(数),Counters_(個)
161,稼,宀禾豕,"work, earn",Human_activities,Money_(銭)_and_Commerce_(商)
162,課,木田言,section,,
163,蚊,文虫,mosquito,Nature,Animals_(獣)
164,牙,牙,"fang, tusk",Nature,Animals_(獣)
165,瓦,瓦,tile,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
166,我,亅戈手,"self, ego",People_(人),General
167,画,凵田,picture,Human_activities,Culture
168,芽,牙艹,bud,Nature,Plants_(植)_and_Trees_(樹)
169,賀,力口貝,congratulations,,
170,雅,牙隹,gracious,,
171,餓,亅戈手食,starve,,
172,介,八个,jammed in,,
