kanji,radical_list
鄲,｜十口田.阝
醋,｜二日酉
醴,｜口日豆酉丷
醺,｜丿酉灬
釀,｜亠口衣酉
釉,｜日田米釆
釐,｜二八厂攴木里
鈕,｜金
鉞,｜戈金
銖,｜丿二八木牛金丷
錏,｜二金
鍜,｜又金
鎭,｜八匕目金丷
鏤,｜口女金
鑰,｜冂口金龠个冊
閘,｜日田門
閧,｜二八門
闌,｜八日木門
陲,｜丿阝.
霰,｜二攴月雨
靺,｜亠八凵口木革
鞣,｜凵口木矛革マ
顆,｜日木田貝頁
餠,｜干食
饉,｜二食艹
饋,｜口貝食
饌,｜二八己食
駲,｜丶丿巛馬
騁,｜勹日田馬
駢,｜丿二廾馬丷
騙,｜冂戸馬冊
騫,｜八宀馬
驥,｜二八匕爿田馬
驤,｜二亠八衣馬
髏,｜冂冖口女月骨
體,｜冂冖口日月豆骨丷
髯,｜冂厶彡長髟
髴,｜丿弓彡長髟
髷,｜厶彡日長髟
鬨,｜亅二八鬥
魎,｜儿入冂厶田鬼
鮓,｜丿田魚灬
鰕,｜又口田魚灬
鰊,｜口木田网魚丷灬
鰥,｜冫田网魚灬
鰤,｜冂口巾田魚灬
鰰,｜田魚灬礻
鱧,｜日田豆魚灬
鵲,｜日鳥
鶇,｜八日木田鳥灬
鶫,｜口木网鳥丷灬
黜,｜山里黒灬
鼬,｜日田臼鼠
槇,｜木目貝
浦,丶十用氵
永,丶水
泳,丶水氵
詠,丶水言
往,丶彳玉
欧,丶丿匚欠
殴,丶丿匚殳
鴎,丶丿匚鳥灬
蒲,丶十用氵艹
釜,丶丿干父玉金丷
鎌,丶丿八彐玉金丷
寒,丶八宀井
丸,丶九
機,丶丿幺戈木
気,丶丿气
稀,丶丿巾禾
偽,丶亻灬
及,丶乃
救,丶攴水
求,丶水
球,丶水玉
兇,丶丿儿凵
凶,丶丿凵
恐,丶几工心
挟,丶二亠人大丷扌
狭,丶二亠人大丷犭
胸,丶丿凵勹月
玉,丶
禽,丶丿亠冂凵厶禸个
区,丶丿匚
躯,丶丿匚身
駆,丶丿匚馬
犬,丶大
国,丶囗玉
叉,丶又
肴,丶丿月
殺,丶丿木殳
桟,丶丿木毛
残,丶丿歹毛
似,丶人亻
執,丶丿亠十土立辛九
勺,丶勹
尺,丶尸
杓,丶勹木
灼,丶勹火
酌,丶勹酉
釈,丶尸米釆
主,丶玉
就,丶亠口小尢尤
蹴,丶丿乙亠口小尢足尤
住,丶玉亻
塾,丶亠口土子九
熟,丶亠口子九灬
